Country or Area,Commodity - Transaction,Year,Quantity
Jamaica,"Total hydro production - Kilowatt-hours, million",2021,139
Jamaica,"Total hydro production - Kilowatt-hours, million",2020,136
Jamaica,"Total hydro production - Kilowatt-hours, million",2019,155
Japan,"Total hydro production - Kilowatt-hours, million",2022,86038.274
Japan,"Total hydro production - Kilowatt-hours, million",2021,88825.28
Japan,"Total hydro production - Kilowatt-hours, million",2020,87548.296
Japan,"Total hydro production - Kilowatt-hours, million",2019,87653.221
Jordan,"Total hydro production - Kilowatt-hours, million",2022,19.1
Jordan,"Total hydro production - Kilowatt-hours, million",2021,18.7
Jordan,"Total hydro production - Kilowatt-hours, million",2020,18.3
Jordan,"Total hydro production - Kilowatt-hours, million",2019,18.4
Kazakhstan,"Total hydro production - Kilowatt-hours, million",2023,8809
Kazakhstan,"Total hydro production - Kilowatt-hours, million",2022,9201.3
Kazakhstan,"Total hydro production - Kilowatt-hours, million",2021,9208.472
Kazakhstan,"Total hydro production - Kilowatt-hours, million",2020,9660.324
Kazakhstan,"Total hydro production - Kilowatt-hours, million",2019,9993.659
Kenya,"Total hydro production - Kilowatt-hours, million",2022,3067.507
Kenya,"Total hydro production - Kilowatt-hours, million",2021,3675
Kenya,"Total hydro production - Kilowatt-hours, million",2020,4232.7
Kenya,"Total hydro production - Kilowatt-hours, million",2019,3205.3
"Korea, Dem.Ppl's.Rep.","Total hydro production - Kilowatt-hours, million",2022,16600
"Korea, Dem.Ppl's.Rep.","Total hydro production - Kilowatt-hours, million",2021,16100
"Korea, Dem.Ppl's.Rep.","Total hydro production - Kilowatt-hours, million",2020,12800
"Korea, Dem.Ppl's.Rep.","Total hydro production - Kilowatt-hours, million",2019,11000
"Korea, Republic of","Total hydro production - Kilowatt-hours, million",2022,7256.228
"Korea, Republic of","Total hydro production - Kilowatt-hours, million",2021,6737.434
"Korea, Republic of","Total hydro production - Kilowatt-hours, million",2020,7148.249
"Korea, Republic of","Total hydro production - Kilowatt-hours, million",2019,6249.461
Kosovo,"Total hydro production - Kilowatt-hours, million",2022,260.112
Kosovo,"Total hydro production - Kilowatt-hours, million",2021,296.962
Kosovo,"Total hydro production - Kilowatt-hours, million",2020,262.8
Kosovo,"Total hydro production - Kilowatt-hours, million",2019,210.495
Kyrgyzstan,"Total hydro production - Kilowatt-hours, million",2023,12027
Kyrgyzstan,"Total hydro production - Kilowatt-hours, million",2022,11929
Kyrgyzstan,"Total hydro production - Kilowatt-hours, million",2021,12957
Kyrgyzstan,"Total hydro production - Kilowatt-hours, million",2020,13979
Kyrgyzstan,"Total hydro production - Kilowatt-hours, million",2019,13844
Lao People's Dem. Rep.,"Total hydro production - Kilowatt-hours, million",2023,38854
Lao People's Dem. Rep.,"Total hydro production - Kilowatt-hours, million",2022,38736.111
Lao People's Dem. Rep.,"Total hydro production - Kilowatt-hours, million",2021,31072.14
Lao People's Dem. Rep.,"Total hydro production - Kilowatt-hours, million",2020,26261.76
Lao People's Dem. Rep.,"Total hydro production - Kilowatt-hours, million",2019,18899
Latvia,"Total hydro production - Kilowatt-hours, million",2022,2749.823
Latvia,"Total hydro production - Kilowatt-hours, million",2021,2707.796
Latvia,"Total hydro production - Kilowatt-hours, million",2020,2603.041
Latvia,"Total hydro production - Kilowatt-hours, million",2019,2107.554
Lebanon,"Total hydro production - Kilowatt-hours, million",2023,535.816
Lebanon,"Total hydro production - Kilowatt-hours, million",2022,694.876
Lebanon,"Total hydro production - Kilowatt-hours, million",2021,611.949
Lebanon,"Total hydro production - Kilowatt-hours, million",2020,842.542
Lebanon,"Total hydro production - Kilowatt-hours, million",2019,965.016
Lesotho,"Total hydro production - Kilowatt-hours, million",2023,470.604398
Lesotho,"Total hydro production - Kilowatt-hours, million",2022,480.3
Lesotho,"Total hydro production - Kilowatt-hours, million",2021,531.4
Lesotho,"Total hydro production - Kilowatt-hours, million",2020,426.3
Lesotho,"Total hydro production - Kilowatt-hours, million",2019,392.44
Liberia,"Total hydro production - Kilowatt-hours, million",2023,225.929
Liberia,"Total hydro production - Kilowatt-hours, million",2022,227.815
Liberia,"Total hydro production - Kilowatt-hours, million",2021,223.386
Liberia,"Total hydro production - Kilowatt-hours, million",2020,124
Liberia,"Total hydro production - Kilowatt-hours, million",2019,124
Liechtenstein,"Total hydro production - Kilowatt-hours, million",2023,77.2
Liechtenstein,"Total hydro production - Kilowatt-hours, million",2022,61.6
Liechtenstein,"Total hydro production - Kilowatt-hours, million",2021,73.7
Liechtenstein,"Total hydro production - Kilowatt-hours, million",2020,72.6
Liechtenstein,"Total hydro production - Kilowatt-hours, million",2019,74.5
Lithuania,"Total hydro production - Kilowatt-hours, million",2022,1020.6
Lithuania,"Total hydro production - Kilowatt-hours, million",2021,1093.9
Lithuania,"Total hydro production - Kilowatt-hours, million",2020,1080.1
Lithuania,"Total hydro production - Kilowatt-hours, million",2019,947.7
Luxembourg,"Total hydro production - Kilowatt-hours, million",2022,1123.558
Luxembourg,"Total hydro production - Kilowatt-hours, million",2021,1084.772
Luxembourg,"Total hydro production - Kilowatt-hours, million",2020,1094.074
Luxembourg,"Total hydro production - Kilowatt-hours, million",2019,949.291
Madagascar,"Total hydro production - Kilowatt-hours, million",2023,982.6
Madagascar,"Total hydro production - Kilowatt-hours, million",2022,822.45
Madagascar,"Total hydro production - Kilowatt-hours, million",2021,767.34
Madagascar,"Total hydro production - Kilowatt-hours, million",2020,817.906
Madagascar,"Total hydro production - Kilowatt-hours, million",2019,886.3
Malawi,"Total hydro production - Kilowatt-hours, million",2023,1700
Malawi,"Total hydro production - Kilowatt-hours, million",2022,1756.62
Malawi,"Total hydro production - Kilowatt-hours, million",2021,2194.22
Malawi,"Total hydro production - Kilowatt-hours, million",2020,1866.97
Malawi,"Total hydro production - Kilowatt-hours, million",2019,1646.6
Malaysia,"Total hydro production - Kilowatt-hours, million",2022,31101
Malaysia,"Total hydro production - Kilowatt-hours, million",2021,31101
Malaysia,"Total hydro production - Kilowatt-hours, million",2020,27294.662
Malaysia,"Total hydro production - Kilowatt-hours, million",2019,26166.55
Mali,"Total hydro production - Kilowatt-hours, million",2023,1823
Mali,"Total hydro production - Kilowatt-hours, million",2022,1787.3
Mali,"Total hydro production - Kilowatt-hours, million",2021,1473
Mali,"Total hydro production - Kilowatt-hours, million",2020,1444.156
Mali,"Total hydro production - Kilowatt-hours, million",2019,1365.202
Mauritius,"Total hydro production - Kilowatt-hours, million",2022,128.3
Mauritius,"Total hydro production - Kilowatt-hours, million",2021,106.9
Mauritius,"Total hydro production - Kilowatt-hours, million",2020,115.8
Mauritius,"Total hydro production - Kilowatt-hours, million",2019,98.6
Mexico,"Total hydro production - Kilowatt-hours, million",2022,35851
Mexico,"Total hydro production - Kilowatt-hours, million",2021,34537
Mexico,"Total hydro production - Kilowatt-hours, million",2020,26817
Mexico,"Total hydro production - Kilowatt-hours, million",2019,23716
Micronesia (Fed. States of),"Total hydro production - Kilowatt-hours, million",2023,1.27
Micronesia (Fed. States of),"Total hydro production - Kilowatt-hours, million",2022,1.3
Micronesia (Fed. States of),"Total hydro production - Kilowatt-hours, million",2021,1.023
Micronesia (Fed. States of),"Total hydro production - Kilowatt-hours, million",2020,1.27
Micronesia (Fed. States of),"Total hydro production - Kilowatt-hours, million",2019,1.27
Mongolia,"Total hydro production - Kilowatt-hours, million",2023,47.605
Mongolia,"Total hydro production - Kilowatt-hours, million",2022,67.868
Mongolia,"Total hydro production - Kilowatt-hours, million",2021,137.939
Mongolia,"Total hydro production - Kilowatt-hours, million",2020,85
Mongolia,"Total hydro production - Kilowatt-hours, million",2019,85
