Country/area,Technology,Year,Public Investments (2022 Million USD)
Azerbaijan,Concentrated solar power,2022,
Azerbaijan,Concentrated solar power,2023,
Azerbaijan,Onshore wind energy,2019,
Azerbaijan,Onshore wind energy,2020,
Azerbaijan,Onshore wind energy,2021,
Azerbaijan,Onshore wind energy,2022,0
Azerbaijan,Onshore wind energy,2023,201.9
Azerbaijan,Offshore wind energy,2019,
Azerbaijan,Offshore wind energy,2020,
Azerbaijan,Offshore wind energy,2021,
Azerbaijan,Offshore wind energy,2022,
Azerbaijan,Offshore wind energy,2023,
Azerbaijan,Renewable hydropower,2019,
Azerbaijan,Renewable hydropower,2020,
Azerbaijan,Renewable hydropower,2021,
Azerbaijan,Renewable hydropower,2022,
Azerbaijan,Renewable hydropower,2023,
Azerbaijan,Pumped storage,2019,
Azerbaijan,Pumped storage,2020,
Azerbaijan,Pumped storage,2021,
Azerbaijan,Pumped storage,2022,
Azerbaijan,Pumped storage,2023,
Azerbaijan,Marine energy,2019,
Azerbaijan,Marine energy,2020,
Azerbaijan,Marine energy,2021,
Azerbaijan,Marine energy,2022,
Azerbaijan,Marine energy,2023,
Azerbaijan,Nuclear,2019,
Azerbaijan,Nuclear,2020,
Azerbaijan,Nuclear,2021,
Azerbaijan,Nuclear,2022,
Azerbaijan,Nuclear,2023,
Bahamas (the),Ongrid solar photovoltaic,2019,
Bahamas (the),Ongrid solar photovoltaic,2020,
Bahamas (the),Ongrid solar photovoltaic,2021,
Bahamas (the),Ongrid solar photovoltaic,2022,
Bahamas (the),Ongrid solar photovoltaic,2023,
Bahamas (the),Offgrid solar photovoltaic,2019,
Bahamas (the),Offgrid solar photovoltaic,2020,
Bahamas (the),Offgrid solar photovoltaic,2021,2.19
Bahamas (the),Offgrid solar photovoltaic,2022,
Bahamas (the),Offgrid solar photovoltaic,2023,
Bahamas (the),Solar thermal energy,2019,
Bahamas (the),Solar thermal energy,2020,
Bahamas (the),Solar thermal energy,2021,
Bahamas (the),Solar thermal energy,2022,
Bahamas (the),Solar thermal energy,2023,
Bahamas (the),Concentrated solar power,2019,
Bahamas (the),Concentrated solar power,2020,
Bahamas (the),Concentrated solar power,2021,
Bahamas (the),Concentrated solar power,2022,
Bahamas (the),Concentrated solar power,2023,
Bahamas (the),Onshore wind energy,2019,
Bahamas (the),Onshore wind energy,2020,
Bahamas (the),Onshore wind energy,2021,
Bahamas (the),Onshore wind energy,2022,
Bahamas (the),Onshore wind energy,2023,
Bahamas (the),Offshore wind energy,2019,
Bahamas (the),Offshore wind energy,2020,
Bahamas (the),Offshore wind energy,2021,
Bahamas (the),Offshore wind energy,2022,
Bahamas (the),Offshore wind energy,2023,
Bahamas (the),Renewable hydropower,2019,
Bahamas (the),Renewable hydropower,2020,
Bahamas (the),Renewable hydropower,2021,
Bahamas (the),Renewable hydropower,2022,
Bahamas (the),Renewable hydropower,2023,
Bahamas (the),Pumped storage,2019,
Bahamas (the),Pumped storage,2020,
Bahamas (the),Pumped storage,2021,
Bahamas (the),Pumped storage,2022,
Bahamas (the),Pumped storage,2023,
Bahamas (the),Marine energy,2019,
Bahamas (the),Marine energy,2020,
Bahamas (the),Marine energy,2021,
Bahamas (the),Marine energy,2022,
Bahamas (the),Marine energy,2023,
Bahamas (the),Nuclear,2019,
Bahamas (the),Nuclear,2020,
Bahamas (the),Nuclear,2021,
Bahamas (the),Nuclear,2022,
Bahamas (the),Nuclear,2023,
Bangladesh,Ongrid solar photovoltaic,2019,142.02
Bangladesh,Ongrid solar photovoltaic,2020,21.3
Bangladesh,Ongrid solar photovoltaic,2021,3.5
Bangladesh,Ongrid solar photovoltaic,2022,0.56
Bangladesh,Ongrid solar photovoltaic,2023,47.98
Bangladesh,Offgrid solar photovoltaic,2019,2.88
Bangladesh,Offgrid solar photovoltaic,2020,
Bangladesh,Offgrid solar photovoltaic,2021,310.38
Bangladesh,Offgrid solar photovoltaic,2022,
Bangladesh,Offgrid solar photovoltaic,2023,0.03
Bangladesh,Solar thermal energy,2019,
