Country/area,Technology,2019,2020,2021,2022,2023
Colombia,Offgrid solar photovoltaic,,0,0.19,13.53,7.28
Colombia,Offshore wind energy,,,,,
Colombia,Ongrid solar photovoltaic,0.85,0.08,15.33,104.97,
Colombia,Onshore wind energy,,,0.05,,
Colombia,Pumped storage,,,,,
Colombia,Renewable hydropower,0,51.39,,,
Colombia,Solar thermal energy,,,0.06,9.21,
Comoros (the),Concentrated solar power,,,,,
Comoros (the),Marine energy,,,,0.01,
Comoros (the),Nuclear,,,,,
Comoros (the),Offgrid solar photovoltaic,0.73,0.05,0.01,,
Comoros (the),Offshore wind energy,,,,,
Comoros (the),Ongrid solar photovoltaic,,17.27,,0.01,
Comoros (the),Onshore wind energy,,,,0.01,
Comoros (the),Pumped storage,,,,,
Comoros (the),Renewable hydropower,,,,,
Comoros (the),Solar thermal energy,16.21,,,27.6,
Congo (the),Concentrated solar power,,,,,
Congo (the),Marine energy,,,,,
Congo (the),Nuclear,,,,,
Congo (the),Offgrid solar photovoltaic,,,0.03,,8.52
Congo (the),Offshore wind energy,,,,,
Congo (the),Ongrid solar photovoltaic,,,,,
Congo (the),Onshore wind energy,,,,,
Congo (the),Pumped storage,,,,,
Congo (the),Renewable hydropower,,,,,
Congo (the),Solar thermal energy,,,,,
Cook Islands (the),Concentrated solar power,,,,,
Cook Islands (the),Marine energy,,,,,
Cook Islands (the),Nuclear,,,,,
Cook Islands (the),Offgrid solar photovoltaic,,,,,
Cook Islands (the),Offshore wind energy,,,,,
Cook Islands (the),Ongrid solar photovoltaic,,,,,
Cook Islands (the),Onshore wind energy,,,,,
Cook Islands (the),Pumped storage,,,,,
Cook Islands (the),Renewable hydropower,,,,,
Cook Islands (the),Solar thermal energy,,,,,
Costa Rica,Concentrated solar power,,,,,
Costa Rica,Marine energy,,,,,
Costa Rica,Nuclear,,,,,
Costa Rica,Offgrid solar photovoltaic,,,,,59.89
Costa Rica,Offshore wind energy,,,,,
Costa Rica,Ongrid solar photovoltaic,0.29,,16.08,,
Costa Rica,Onshore wind energy,,,,,
Costa Rica,Pumped storage,,,,,
Costa Rica,Renewable hydropower,,,,,
Costa Rica,Solar thermal energy,,,,,
Croatia,Concentrated solar power,,,,,
Croatia,Marine energy,,,,,
Croatia,Nuclear,,,,,
Croatia,Offgrid solar photovoltaic,,,,,
Croatia,Offshore wind energy,,,,,
Croatia,Ongrid solar photovoltaic,,,,,12.43
Croatia,Onshore wind energy,,,,67.92,
Croatia,Pumped storage,,,,,
Croatia,Renewable hydropower,,,,,
Croatia,Solar thermal energy,,,,,
Cuba,Concentrated solar power,,,,,
Cuba,Marine energy,,,,0.24,
Cuba,Nuclear,,,,,
Cuba,Offgrid solar photovoltaic,,,0.12,,0.01
