"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Germany","Electricity - total solar production","2022","Kilowatt-hours, million","60304",""
"Germany","Electricity - total solar production","2021","Kilowatt-hours, million","50472",""
"Germany","Electricity - total solar production","2020","Kilowatt-hours, million","49496",""
"Germany","Electricity - total solar production","2019","Kilowatt-hours, million","44383",""
"Ghana","Electricity - total solar production","2023","Kilowatt-hours, million","147.8",""
"Ghana","Electricity - total solar production","2022","Kilowatt-hours, million","161.5",""
"Ghana","Electricity - total solar production","2021","Kilowatt-hours, million","122.241",""
"Ghana","Electricity - total solar production","2020","Kilowatt-hours, million","56.9",""
"Ghana","Electricity - total solar production","2019","Kilowatt-hours, million","51.8",""
"Greece","Electricity - total solar production","2022","Kilowatt-hours, million","7139.715",""
"Greece","Electricity - total solar production","2021","Kilowatt-hours, million","5250.978",""
"Greece","Electricity - total solar production","2020","Kilowatt-hours, million","4446.854",""
"Greece","Electricity - total solar production","2019","Kilowatt-hours, million","4428.51",""
"Grenada","Electricity - total solar production","2023","Kilowatt-hours, million","4.52","1"
"Grenada","Electricity - total solar production","2022","Kilowatt-hours, million","4.512","1"
"Grenada","Electricity - total solar production","2021","Kilowatt-hours, million","4.381","1"
"Grenada","Electricity - total solar production","2020","Kilowatt-hours, million","4.253",""
"Grenada","Electricity - total solar production","2019","Kilowatt-hours, million","3.734",""
"Guam","Electricity - total solar production","2023","Kilowatt-hours, million","94.44","1"
"Guam","Electricity - total solar production","2022","Kilowatt-hours, million","102.04","1"
"Guam","Electricity - total solar production","2021","Kilowatt-hours, million","67.962","1"
"Guam","Electricity - total solar production","2020","Kilowatt-hours, million","67.962",""
"Guam","Electricity - total solar production","2019","Kilowatt-hours, million","67.962",""
"Guatemala","Electricity - total solar production","2023","Kilowatt-hours, million","245.9",""
"Guatemala","Electricity - total solar production","2022","Kilowatt-hours, million","220.46",""
"Guatemala","Electricity - total solar production","2021","Kilowatt-hours, million","229.6",""
"Guatemala","Electricity - total solar production","2020","Kilowatt-hours, million","222.095",""
"Guatemala","Electricity - total solar production","2019","Kilowatt-hours, million","198.74",""
"Guernsey","Electricity - total solar production","2023","Kilowatt-hours, million","0.443",""
"Guernsey","Electricity - total solar production","2022","Kilowatt-hours, million","0.367",""
"Guernsey","Electricity - total solar production","2021","Kilowatt-hours, million","0.39",""
