country_code,country,continent,indicator,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
ASM,American Samoa,Oceania,nuclear_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,nuclear_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,offshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,offshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,offshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,offshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,onshore_wind_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,onshore_wind_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,onshore_wind_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,onshore_wind_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,other_non_renewable_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,other_non_renewable_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,other_non_renewable_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,other_non_renewable_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,pumped_storage_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,pumped_storage_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,pumped_storage_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,pumped_storage_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,renewable_hydropower_gen_gwh_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,renewable_hydropower_gen_gwh_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,renewable_hydropower_cap_mw_off_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,renewable_hydropower_cap_mw_on_grid,NA,NA,NA,NA,NA,NA
ASM,American Samoa,Oceania,solar_pv_gen_gwh_off_grid,2.79,2.79,2.79,2.26,2.26,NA
ASM,American Samoa,Oceania,solar_pv_gen_gwh_on_grid,4.64,3.76,2.79,1.83,1.83,NA
