Country/area,Technology,Data Type,Grid connection,2019,2020,2021,2022,2023,2024
Andorra,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Solar thermal energy,Electricity Generation (GWh),On-grid,,,,,,
Andorra,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Andorra,Total renewable,Electricity Generation (GWh),Off-grid,,,,,,
Andorra,Total renewable,Electricity Generation (GWh),On-grid,158.88,142.17,96.98,87.53,90.81,
Andorra,Total renewable,Electricity Installed Capacity (MW),Off-grid,,,,,,
Andorra,Total renewable,Electricity Installed Capacity (MW),On-grid,52.99,54.08,55.35,56.63,59.73,59.73
Angola,Mixed Hydro Plants,Electricity Generation (GWh),Off-grid,,,,,,
Angola,Mixed Hydro Plants,Electricity Generation (GWh),On-grid,,,,,,
Angola,Mixed Hydro Plants,Electricity Installed Capacity (MW),Off-grid,,,,,,
Angola,Mixed Hydro Plants,Electricity Installed Capacity (MW),On-grid,,,,,,
Angola,Nuclear,Electricity Generation (GWh),Off-grid,,,,,,
Angola,Nuclear,Electricity Generation (GWh),On-grid,,,,,,
Angola,Nuclear,Electricity Installed Capacity (MW),Off-grid,,,,,,
Angola,Nuclear,Electricity Installed Capacity (MW),On-grid,,,,,,
Angola,Offshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Angola,Offshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Angola,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Angola,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Angola,Onshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Angola,Onshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Angola,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Angola,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Angola,Other non-renewable energy,Electricity Generation (GWh),Off-grid,,,,,,
Angola,Other non-renewable energy,Electricity Generation (GWh),On-grid,,,,,,
Angola,Other non-renewable energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Angola,Other non-renewable energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Angola,Pumped storage,Electricity Generation (GWh),Off-grid,,,,,,
Angola,Pumped storage,Electricity Generation (GWh),On-grid,,,,,,
Angola,Pumped storage,Electricity Installed Capacity (MW),Off-grid,,,,,,
Angola,Pumped storage,Electricity Installed Capacity (MW),On-grid,,,,,,
Angola,Renewable hydropower,Electricity Generation (GWh),Off-grid,94.34,94.34,94.34,94.34,94.34,
Angola,Renewable hydropower,Electricity Generation (GWh),On-grid,12467.96,13707.34,13707.34,13707.34,13707.34,
Angola,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,35.28,35.28,35.28,35.28,35.28,35.28
Angola,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,3360,3694,3694,3694,3694,3694
Angola,Solar photovoltaic,Electricity Generation (GWh),Off-grid,1.94,1.95,2.05,2.07,2.07,
Angola,Solar photovoltaic,Electricity Generation (GWh),On-grid,,,,403.28,438.78,
Angola,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,1.37,1.37,1.44,1.46,1.46,1.46
Angola,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,,,,284,309,360.43
Angola,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
Angola,Solar thermal energy,Electricity Generation (GWh),On-grid,,,,,,
Angola,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Angola,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Angola,Total renewable,Electricity Generation (GWh),Off-grid,96.28,96.29,96.38,96.41,96.41,
Angola,Total renewable,Electricity Generation (GWh),On-grid,12667.96,13907.34,13907.34,14310.62,14346.12,
Angola,Total renewable,Electricity Installed Capacity (MW),Off-grid,36.65,36.65,36.72,36.74,36.74,36.74
Angola,Total renewable,Electricity Installed Capacity (MW),On-grid,3411,3745,3745,4029,4054,4105.43
Anguilla,Mixed Hydro Plants,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Mixed Hydro Plants,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Mixed Hydro Plants,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Mixed Hydro Plants,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Nuclear,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Nuclear,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Nuclear,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Nuclear,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Offshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Offshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Onshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Onshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Other non-renewable energy,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Other non-renewable energy,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Other non-renewable energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Other non-renewable energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Pumped storage,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Pumped storage,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Pumped storage,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Pumped storage,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Renewable hydropower,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Renewable hydropower,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Renewable hydropower,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Renewable hydropower,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Solar photovoltaic,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Solar photovoltaic,Electricity Generation (GWh),On-grid,2.68,3.82,3.82,3.82,3.82,
Anguilla,Solar photovoltaic,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,1.54,1.54,1.54,1.54,1.54,1.54
Anguilla,Solar thermal energy,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Solar thermal energy,Electricity Generation (GWh),On-grid,,,,,,
Anguilla,Solar thermal energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Anguilla,Total renewable,Electricity Generation (GWh),Off-grid,,,,,,
Anguilla,Total renewable,Electricity Generation (GWh),On-grid,2.68,3.82,3.82,3.82,3.82,
Anguilla,Total renewable,Electricity Installed Capacity (MW),Off-grid,,,,,,
Anguilla,Total renewable,Electricity Installed Capacity (MW),On-grid,1.54,1.54,1.54,1.54,1.54,1.54
Antigua and Barbuda,Mixed Hydro Plants,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Mixed Hydro Plants,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Mixed Hydro Plants,Electricity Installed Capacity (MW),Off-grid,,,,,,
Antigua and Barbuda,Mixed Hydro Plants,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Nuclear,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Nuclear,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Nuclear,Electricity Installed Capacity (MW),Off-grid,,,,,,
Antigua and Barbuda,Nuclear,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Offshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Offshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Offshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Antigua and Barbuda,Offshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Onshore wind energy,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Onshore wind energy,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Onshore wind energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
Antigua and Barbuda,Onshore wind energy,Electricity Installed Capacity (MW),On-grid,,,,,,
Antigua and Barbuda,Other non-renewable energy,Electricity Generation (GWh),Off-grid,,,,,,
Antigua and Barbuda,Other non-renewable energy,Electricity Generation (GWh),On-grid,,,,,,
Antigua and Barbuda,Other non-renewable energy,Electricity Installed Capacity (MW),Off-grid,,,,,,
